game_id,season,game_date,team_id,team_display_name,team_home_away,team_score,team_winner,field_goals_made,field_goals_attempted,free_throws_made,free_throws_attempted,opponent_team_id,opponent_team_display_name,opponent_team_score,league
401751953,2025,2025-03-23,2032,Arkansas State Red Wolves,away,63,False,24,65,7,9,249,North Texas Mean Green,65,ncaam
401751939,2025,2025-03-19,231,Furman Paladins,away,64,False,26,54,2,4,249,North Texas Mean Green,75,ncaam
401745786,2025,2025-03-15,5,UAB Blazers,away,66,True,24,56,14,19,249,North Texas Mean Green,56,ncaam
401745783,2025,2025-03-14,202,Tulsa Golden Hurricane,away,59,False,15,44,22,26,249,North Texas Mean Green,77,ncaam
401725629,2025,2025-03-09,218,Temple Owls,home,66,True,20,42,20,29,249,North Texas Mean Green,61,ncaam
401725622,2025,2025-03-06,2429,Charlotte 49ers,away,64,False,21,55,14,15,249,North Texas Mean Green,75,ncaam
401725617,2025,2025-03-03,2724,Wichita State Shockers,away,66,False,24,52,16,19,249,North Texas Mean Green,68,ncaam
401725610,2025,2025-02-27,2226,Florida Atlantic Owls,home,61,False,20,48,14,16,249,North Texas Mean Green,71,ncaam
401725603,2025,2025-02-23,58,South Florida Bulls,home,57,False,20,58,16,23,249,North Texas Mean Green,64,ncaam
401725596,2025,2025-02-19,202,Tulsa Golden Hurricane,away,44,False,14,42,12,19,249,North Texas Mean Green,63,ncaam
401725585,2025,2025-02-11,242,Rice Owls,home,61,False,22,50,12,23,249,North Texas Mean Green,67,ncaam
401725578,2025,2025-02-08,2655,Tulane Green Wave,away,66,False,21,50,19,23,249,North Texas Mean Green,76,ncaam
401725571,2025,2025-02-03,5,UAB Blazers,home,64,True,26,58,10,13,249,North Texas Mean Green,61,ncaam
401725567,2025,2025-02-01,2636,UTSA Roadrunners,away,54,True,18,44,14,16,249,North Texas Mean Green,50,ncaam
401725560,2025,2025-01-29,2724,Wichita State Shockers,home,54,False,18,50,15,18,249,North Texas Mean Green,58,ncaam
401725556,2025,2025-01-26,2226,Florida Atlantic Owls,away,64,False,22,53,13,15,249,North Texas Mean Green,77,ncaam
401725551,2025,2025-01-22,218,Temple Owls,away,67,False,23,65,14,18,249,North Texas Mean Green,76,ncaam
401725543,2025,2025-01-18,2636,UTSA Roadrunners,home,57,False,19,50,13,13,249,North Texas Mean Green,72,ncaam
401725536,2025,2025-01-14,151,East Carolina Pirates,home,60,False,24,53,4,10,249,North Texas Mean Green,69,ncaam
401725528,2025,2025-01-08,242,Rice Owls,away,59,False,20,53,13,18,249,North Texas Mean Green,81,ncaam
401725522,2025,2025-01-05,235,Memphis Tigers,home,68,True,24,44,15,21,249,North Texas Mean Green,64,ncaam
401725515,2025,2024-12-31,5,UAB Blazers,away,75,False,23,56,19,21,249,North Texas Mean Green,78,ncaam
401715963,2025,2024-12-22,2277,Houston Christian Huskies,away,46,False,15,44,12,15,249,North Texas Mean Green,62,ncaam
401730691,2025,2024-12-20,2026,App State Mountaineers,away,64,False,22,42,13,16,249,North Texas Mean Green,68,ncaam
