conference_name,conference_short_name,conference_id,group_id,conference_uid,parent_group_id,conference_logo
Atlantic 10 Conference,A-10,3,3,s:40~l:41~g:3,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/atlantic_10.gif
Atlantic Coast Conference,ACC,2,2,s:40~l:41~g:2,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/acc.gif
America East Conference,Am. East,1,1,s:40~l:41~g:1,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/america_east.gif
American Conference,American,62,62,s:40~l:41~g:62,50,
ASUN Conference,ASUN,46,46,s:40~l:41~g:46,50,
Big 12 Conference,Big 12,8,8,s:40~l:41~g:8,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/big_12.gif
Big East Conference,Big East,4,4,s:40~l:41~g:4,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/big_east.gif
Big Sky Conference,Big Sky,5,5,s:40~l:41~g:5,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/big_sky.gif
Big South Conference,Big South,6,6,s:40~l:41~g:6,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/big_south.gif
Big Ten Conference,Big Ten,7,7,s:40~l:41~g:7,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/big_ten.gif
Big West Conference,Big West,9,9,s:40~l:41~g:9,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/big_west.gif
Coastal Athletic Association,CAA,10,10,s:40~l:41~g:10,50,
Conference USA,CUSA,11,11,s:40~l:41~g:11,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/conference_usa.gif
Horizon League,Horizon,45,45,s:40~l:41~g:45,50,
Ivy League,Ivy,12,12,s:40~l:41~g:12,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/ivy.gif
Metro Atlantic Athletic Conference,MAAC,13,13,s:40~l:41~g:13,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/maac.gif
Mid-American Conference,MAC,14,14,s:40~l:41~g:14,50,
Mid-Eastern Athletic Conference,MEAC,16,16,s:40~l:41~g:16,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/meac.gif
Mountain West Conference,Mountain West,44,44,s:40~l:41~g:44,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/mountain_west.gif
Missouri Valley Conference,MVC,18,18,s:40~l:41~g:18,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/missouri_valley.gif
Northeast Conference,NEC,19,19,s:40~l:41~g:19,50,
Ohio Valley Conference,OVC,20,20,s:40~l:41~g:20,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/ohio_valley.gif
Patriot League,Patriot,22,22,s:40~l:41~g:22,50,
Southeastern Conference,SEC,23,23,s:40~l:41~g:23,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/sec.gif
Southern Conference,SoCon,24,24,s:40~l:41~g:24,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/southern.gif
Southland Conference,Southland,25,25,s:40~l:41~g:25,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/southland.gif
Summit League,Summit,49,49,s:40~l:41~g:49,50,
Sun Belt Conference,Sun Belt,27,27,s:40~l:41~g:27,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/sun_belt.gif
Southwestern Athletic Conference,SWAC,26,26,s:40~l:41~g:26,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/swac.gif
Western Athletic Conference,WAC,30,30,s:40~l:41~g:30,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/wac.gif
West Coast Conference,WCC,29,29,s:40~l:41~g:29,50,https://a.espncdn.com/i/teamlogos/ncaa_conf/sml/trans/west_coast.gif
